dataPlatform,schema,dataset,class,field,sqlDataType,sourceDataType,sourceEntityType,sourceNullable,definedBy,description,ordinalPosition,pii,attributeOf,classification,pk,V1
dataverseSource,main,accounts,accounts,address2_postofficebox,12,String,Column,TRUE,STRING,Type the post office box number of the secondary address.,52,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_primarycontactname,12,String,Column,TRUE,STRING,Type the name of the main contact at the account's secondary address.,53,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_shippingmethodcode,4,Picklist,Column,TRUE,INTEGER,Select a shipping method for deliveries sent to this address.,54,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_shippingmethodcodename,12,Virtual,Column,TRUE,STRING,,55,,address2_shippingmethodcode,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_stateorprovince,12,String,Column,TRUE,STRING,Type the state or province of the secondary address.,56,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_telephone1,12,String,Column,TRUE,STRING,Type the main phone number associated with the secondary address.,57,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_telephone2,12,String,Column,TRUE,STRING,Type a second phone number associated with the secondary address.,58,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_telephone3,12,String,Column,TRUE,STRING,Type a third phone number associated with the secondary address.,59,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_upszone,12,String,Column,TRUE,STRING,"Type the UPS zone of the secondary address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",60,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_utcoffset,12,Integer,Column,TRUE,STRING,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",61,,,ADDRESS,,
dataverseSource,main,accounts,accounts,adx_createdbyipaddress,12,String,Column,TRUE,STRING,,62,,,ADDRESS,,
dataverseSource,main,accounts,accounts,adx_createdbyusername,12,String,Column,TRUE,STRING,,63,TRUE,,NAME,,
dataverseSource,main,accounts,accounts,adx_modifiedbyipaddress,12,String,Column,TRUE,STRING,,64,,,ADDRESS,,
dataverseSource,main,accounts,accounts,adx_modifiedbyusername,12,String,Column,TRUE,STRING,,65,TRUE,,NAME,,
dataverseSource,main,accounts,accounts,aging30,3,Money,Column,TRUE,REAL,For system use only.,66,,,,,
dataverseSource,main,accounts,accounts,aging30_base,3,Money,Column,TRUE,REAL,The base currency equivalent of the aging 30 field.,67,,,,,
dataverseSource,main,accounts,accounts,aging60,3,Money,Column,TRUE,REAL,For system use only.,68,,,,,
dataverseSource,main,accounts,accounts,aging60_base,3,Money,Column,TRUE,REAL,The base currency equivalent of the aging 60 field.,69,,,,,
dataverseSource,main,accounts,accounts,aging90,3,Money,Column,TRUE,REAL,For system use only.,70,,,,,
dataverseSource,main,accounts,accounts,aging90_base,3,Money,Column,TRUE,REAL,The base currency equivalent of the aging 90 field.,71,,,,,
dataverseSource,main,accounts,accounts,businesstypecode,4,Picklist,Column,TRUE,INTEGER,Select the legal designation or other business type of the account for contracts or reporting purposes.,72,,,,,
dataverseSource,main,accounts,accounts,businesstypecodename,12,Virtual,Column,TRUE,STRING,,73,TRUE,businesstypecode,NAME,,
dataverseSource,main,accounts,accounts,createdby,12,Lookup,Column,TRUE,STRING,Shows who created the record.,74,,,,,
dataverseSource,main,accounts,accounts,createdbyexternalparty,12,Lookup,Column,TRUE,STRING,Shows the external party who created the record.,75,,,,,
dataverseSource,main,accounts,accounts,createdbyexternalpartyname,12,String,Column,TRUE,STRING,,76,TRUE,createdbyexternalparty,NAME,,
dataverseSource,main,accounts,accounts,createdbyexternalpartyyominame,12,String,Column,TRUE,STRING,,77,TRUE,createdbyexternalparty,NAME,,
dataverseSource,main,accounts,accounts,createdbyname,12,String,Column,TRUE,STRING,,78,TRUE,createdby,NAME,,
dataverseSource,main,accounts,accounts,createdbyyominame,12,String,Column,TRUE,STRING,,79,TRUE,createdby,NAME,,
dataverseSource,main,accounts,accounts,createdon,93,DateTime,Column,TRUE,DATETIME,Shows the date and time when the record was created. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,80,,,,,
dataverseSource,main,accounts,accounts,createdonbehalfby,12,Lookup,Column,TRUE,STRING,Shows who created the record on behalf of another user.,81,,,,,
dataverseSource,main,accounts,accounts,createdonbehalfbyname,12,String,Column,TRUE,STRING,,82,TRUE,createdonbehalfby,NAME,,
dataverseSource,main,accounts,accounts,createdonbehalfbyyominame,12,String,Column,TRUE,STRING,,83,TRUE,createdonbehalfby,NAME,,
dataverseSource,main,accounts,accounts,creditlimit,3,Money,Column,TRUE,REAL,Type the credit limit of the account. This is a useful reference when you address invoice and accounting issues with the customer.,84,,,,,
dataverseSource,main,accounts,accounts,creditlimit_base,3,Money,Column,TRUE,REAL,Shows the credit limit converted to the system's default base currency for reporting purposes.,85,,,,,
dataverseSource,main,accounts,accounts,creditonhold,16,Boolean,Column,TRUE,BOOLEAN,Select whether the credit for the account is on hold. This is a useful reference while addressing the invoice and accounting issues with the customer.,86,,,,,
dataverseSource,main,accounts,accounts,creditonholdname,12,Virtual,Column,TRUE,STRING,,87,TRUE,creditonhold,NAME,,
dataverseSource,main,accounts,accounts,customersizecode,4,Picklist,Column,TRUE,INTEGER,Select the size category or range of the account for segmentation and reporting purposes.,88,,,,,
dataverseSource,main,accounts,accounts,customersizecodename,12,Virtual,Column,TRUE,STRING,,89,TRUE,customersizecode,NAME,,
dataverseSource,main,accounts,accounts,customertypecode,4,Picklist,Column,TRUE,INTEGER,Select the category that best describes the relationship between the account and your organization.,90,,,,,
dataverseSource,main,accounts,accounts,customertypecodename,12,Virtual,Column,TRUE,STRING,,91,TRUE,customertypecode,NAME,,
dataverseSource,main,accounts,accounts,defaultpricelevelid,12,Lookup,Column,TRUE,STRING,"Choose the default price list associated with the account to make sure the correct product prices for this customer are applied in sales opportunities, quotes, and orders.",92,,,,,
dataverseSource,main,accounts,accounts,defaultpricelevelidname,12,String,Column,FALSE,STRING,,93,TRUE,defaultpricelevelid,NAME,,
dataverseSource,main,accounts,accounts,description,12,Memo,Column,TRUE,STRING,"Type additional information to describe the account, such as an excerpt from the company's website.",94,,,,,
dataverseSource,main,accounts,accounts,donotbulkemail,16,Boolean,Column,TRUE,BOOLEAN,"Select whether the account allows bulk email sent through campaigns. If Do Not Allow is selected, the account can be added to marketing lists, but is excluded from email.",95,,,,,
dataverseSource,main,accounts,accounts,donotbulkemailname,12,Virtual,Column,TRUE,STRING,,96,TRUE,donotbulkemail,NAME,,
dataverseSource,main,accounts,accounts,donotbulkpostalmail,16,Boolean,Column,TRUE,BOOLEAN,"Select whether the account allows bulk postal mail sent through marketing campaigns or quick campaigns. If Do Not Allow is selected, the account can be added to marketing lists, but will be excluded from the postal mail.",97,,,,,
dataverseSource,main,accounts,accounts,donotbulkpostalmailname,12,Virtual,Column,TRUE,STRING,,98,TRUE,donotbulkpostalmail,NAME,,
dataverseSource,main,accounts,accounts,donotemail,16,Boolean,Column,TRUE,BOOLEAN,Select whether the account allows direct email sent from Microsoft Dynamics 365.,99,,,,,
dataverseSource,main,accounts,accounts,donotemailname,12,Virtual,Column,TRUE,STRING,,100,TRUE,donotemail,NAME,,
dataverseSource,main,accounts,accounts,donotfax,16,Boolean,Column,TRUE,BOOLEAN,"Select whether the account allows faxes. If Do Not Allow is selected, the account will be excluded from fax activities distributed in marketing campaigns.",101,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,donotfaxname,12,Virtual,Column,TRUE,STRING,,102,TRUE,donotfax,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,donotphone,16,Boolean,Column,TRUE,BOOLEAN,"Select whether the account allows phone calls. If Do Not Allow is selected, the account will be excluded from phone call activities distributed in marketing campaigns.",103,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,donotphonename,12,Virtual,Column,TRUE,STRING,,104,TRUE,donotphone,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,donotpostalmail,16,Boolean,Column,TRUE,BOOLEAN,"Select whether the account allows direct mail. If Do Not Allow is selected, the account will be excluded from letter activities distributed in marketing campaigns.",105,,,,,
dataverseSource,main,accounts,accounts,donotpostalmailname,12,Virtual,Column,TRUE,STRING,,106,TRUE,donotpostalmail,NAME,,
dataverseSource,main,accounts,accounts,donotsendmarketingmaterialname,12,Virtual,Column,TRUE,STRING,,107,TRUE,donotsendmm,NAME,,
dataverseSource,main,accounts,accounts,donotsendmm,16,Boolean,Column,TRUE,BOOLEAN,"Select whether the account accepts marketing materials, such as brochures or catalogs.",108,,,,,
dataverseSource,main,accounts,accounts,emailaddress1,12,String,Column,TRUE,STRING,Type the primary email address for the account.,109,,,EMAIL,,
dataverseSource,main,accounts,accounts,emailaddress2,12,String,Column,TRUE,STRING,Type the secondary email address for the account.,110,,,EMAIL,,
dataverseSource,main,accounts,accounts,emailaddress3,12,String,Column,TRUE,STRING,Type an alternate email address for the account.,111,,,EMAIL,,
dataverseSource,main,accounts,accounts,entityimage,12,Virtual,Column,TRUE,STRING,Shows the default image for the record.,112,,entityimageid,,,
dataverseSource,main,accounts,accounts,entityimage_timestamp,-5,BigInt,Column,TRUE,INTEGER,,113,,entityimageid,,,
dataverseSource,main,accounts,accounts,entityimage_url,12,String,Column,TRUE,STRING,,114,,entityimageid,,,
dataverseSource,main,accounts,accounts,entityimageid,1,Uniqueidentifier,Column,TRUE,STRING,For internal use only.,115,,,,,
dataverseSource,main,accounts,accounts,exchangerate,3,Decimal,Column,TRUE,REAL,Shows the conversion rate of the record's currency. The exchange rate is used to convert all money fields in the record from the local currency to the system's default currency.,116,,,,,
dataverseSource,main,accounts,accounts,fax,12,String,Column,TRUE,STRING,Type the fax number for the account.,117,TRUE,,TELEPHONE_NUMBER,,
dataverseSource,main,accounts,accounts,followemail,16,Boolean,Column,TRUE,BOOLEAN,"Information about whether to allow following email activity like opens, attachment views and link clicks for emails sent to the account.",118,,,,,
dataverseSource,main,accounts,accounts,followemailname,12,Virtual,Column,TRUE,STRING,,119,TRUE,followemail,NAME,,
dataverseSource,main,accounts,accounts,ftpsiteurl,12,String,Column,TRUE,STRING,Type the URL for the account's FTP site to enable users to access data and share documents.,120,,,,,
dataverseSource,main,accounts,accounts,importsequencenumber,4,Integer,Column,TRUE,INTEGER,Unique identifier of the data import or data migration that created this record.,121,,,,,
dataverseSource,main,accounts,accounts,industrycode,4,Picklist,Column,TRUE,INTEGER,Select the account's primary industry for use in marketing segmentation and demographic analysis.,122,,,,,
dataverseSource,main,accounts,accounts,industrycodename,12,Virtual,Column,TRUE,STRING,,123,TRUE,industrycode,NAME,,
dataverseSource,main,accounts,accounts,isprivatename,12,Virtual,Column,TRUE,STRING,,124,TRUE,isprivate,NAME,,
dataverseSource,main,accounts,accounts,lastonholdtime,93,DateTime,Column,TRUE,DATETIME,Contains the date and time stamp of the last on hold time.,125,,,,,
dataverseSource,main,accounts,accounts,lastusedincampaign,91,DateTime,Column,TRUE,DATE,Shows the date when the account was last included in a marketing campaign or quick campaign.,126,,,,,
dataverseSource,main,accounts,accounts,marketcap,3,Money,Column,TRUE,REAL,"Type the market capitalization of the account to identify the company's equity, used as an indicator in financial performance analysis.",127,,,,,
dataverseSource,main,accounts,accounts,marketcap_base,3,Money,Column,TRUE,REAL,Shows the market capitalization converted to the system's default base currency.,128,,,,,
dataverseSource,main,accounts,accounts,marketingonly,16,Boolean,Column,TRUE,BOOLEAN,Whether is only for marketing,129,,,,,
dataverseSource,main,accounts,accounts,marketingonlyname,12,Virtual,Column,TRUE,STRING,,130,TRUE,marketingonly,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,masteraccountidname,12,String,Column,TRUE,STRING,,131,TRUE,masterid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,masteraccountidyominame,12,String,Column,TRUE,STRING,,132,TRUE,masterid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,masterid,12,Lookup,Column,TRUE,STRING,Shows the master account that the account was merged with.,133,,,,,
dataverseSource,main,accounts,accounts,merged,16,Boolean,Column,TRUE,BOOLEAN,Shows whether the account has been merged with another account.,134,,,,,
dataverseSource,main,accounts,accounts,mergedname,12,Virtual,Column,TRUE,STRING,,135,TRUE,merged,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,modifiedby,12,Lookup,Column,TRUE,STRING,Shows who last updated the record.,136,,,,,
dataverseSource,main,accounts,accounts,modifiedbyexternalparty,12,Lookup,Column,TRUE,STRING,Shows the external party who modified the record.,137,,,,,
dataverseSource,main,accounts,accounts,modifiedbyexternalpartyname,12,String,Column,TRUE,STRING,,138,TRUE,modifiedbyexternalparty,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,modifiedbyexternalpartyyominame,12,String,Column,TRUE,STRING,,139,TRUE,modifiedbyexternalparty,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,modifiedbyname,12,String,Column,TRUE,STRING,,140,TRUE,modifiedby,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,modifiedbyyominame,12,String,Column,TRUE,STRING,,141,TRUE,modifiedby,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,modifiedon,93,DateTime,Column,TRUE,DATETIME,Shows the date and time when the record was last updated. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,142,,,,,
dataverseSource,main,accounts,accounts,modifiedonbehalfby,12,Lookup,Column,TRUE,STRING,Shows who created the record on behalf of another user.,143,,,,,
dataverseSource,main,accounts,accounts,modifiedonbehalfbyname,12,String,Column,TRUE,STRING,,144,TRUE,modifiedonbehalfby,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,modifiedonbehalfbyyominame,12,String,Column,TRUE,STRING,,145,TRUE,modifiedonbehalfby,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,msa_managingpartnerid,12,Lookup,Column,TRUE,STRING,Unique identifier for Account associated with Account.,146,,,,,
dataverseSource,main,accounts,accounts,msa_managingpartneridname,12,String,Column,TRUE,STRING,,147,TRUE,msa_managingpartnerid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,msa_managingpartneridyominame,12,String,Column,TRUE,STRING,,148,TRUE,msa_managingpartnerid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,msdyn_accountkpiid,12,Lookup,Column,TRUE,STRING,,149,,,,,
dataverseSource,main,accounts,accounts,msdyn_accountkpiidname,12,String,Column,TRUE,STRING,,150,TRUE,msdyn_accountkpiid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,msdyn_gdproptout,16,Boolean,Column,TRUE,BOOLEAN,Describes whether account is opted out or not,151,,,,,
dataverseSource,main,accounts,accounts,msdyn_gdproptoutname,12,Virtual,Column,TRUE,STRING,,152,TRUE,msdyn_gdproptout,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,msdyn_primarytimezone,12,Integer,Column,TRUE,STRING,Indicates the primary time zone that the client works on.,153,,,,,
dataverseSource,main,accounts,accounts,msdyn_salesaccelerationinsightid,12,Lookup,Column,TRUE,STRING,Sales Acceleration Insights ID,154,,,,,
dataverseSource,main,accounts,accounts,msdyn_salesaccelerationinsightidname,12,String,Column,TRUE,STRING,,155,TRUE,msdyn_salesaccelerationinsightid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,msdyn_segmentid,12,Lookup,Column,TRUE,STRING,Unique identifier for Segment associated with account.,156,,,,,
dataverseSource,main,accounts,accounts,msdyn_segmentidname,12,String,Column,TRUE,STRING,,157,TRUE,msdyn_segmentid,MIDDLE_NAME,,
dataverseSource,main,accounts,accounts,name,12,String,Column,FALSE,STRING,Type the company or business name.,158,TRUE,,NAME,,
dataverseSource,main,accounts,accounts,numberofemployees,4,Integer,Column,TRUE,INTEGER,Type the number of employees that work at the account for use in marketing segmentation and demographic analysis.,159,,,,,
dataverseSource,main,accounts,accounts,onholdtime,4,Integer,Column,TRUE,INTEGER,"Shows how long, in minutes, that the record was on hold.",160,,,,,
dataverseSource,main,accounts,accounts,opendeals,4,Integer,Column,TRUE,INTEGER,Number of open opportunities against an account and its child accounts.,161,,,,,
dataverseSource,main,accounts,accounts,opendeals_date,93,DateTime,Column,TRUE,DATETIME,Last Updated time of rollup field Open Deals.,162,,,,,
dataverseSource,main,accounts,accounts,opendeals_state,4,Integer,Column,TRUE,INTEGER,State of rollup field Open Deals.,163,,,,,
dataverseSource,main,accounts,accounts,openrevenue,3,Money,Column,TRUE,REAL,Sum of open revenue against an account and its child accounts.,164,,,,,
dataverseSource,main,accounts,accounts,openrevenue_base,3,Money,Column,TRUE,REAL,Value of the Open Revenue in base currency.,165,,,,,
dataverseSource,main,accounts,accounts,openrevenue_date,93,DateTime,Column,TRUE,DATETIME,Last Updated time of rollup field Open Revenue.,166,,,,,
dataverseSource,main,accounts,accounts,openrevenue_state,4,Integer,Column,TRUE,INTEGER,State of rollup field Open Revenue.,167,,,,,
dataverseSource,main,accounts,accounts,originatingleadid,12,Lookup,Column,TRUE,STRING,Shows the lead that the account was created from if the account was created by converting a lead in Microsoft Dynamics 365. This is used to relate the account to data on the originating lead for use in reporting and analytics.,168,TRUE,,ORIGIN,,
dataverseSource,main,accounts,accounts,originatingleadidname,12,String,Column,TRUE,STRING,,169,TRUE,originatingleadid,NAME,,
dataverseSource,main,accounts,accounts,originatingleadidyominame,12,String,Column,TRUE,STRING,,170,TRUE,originatingleadid,NAME,,
dataverseSource,main,accounts,accounts,overriddencreatedon,91,DateTime,Column,TRUE,DATE,Date and time that the record was migrated.,171,,,,,
dataverseSource,main,accounts,accounts,ownerid,12,Owner,Column,FALSE,STRING,Enter the user or team who is assigned to manage the record. This field is updated every time the record is assigned to a different user.,172,TRUE,,OWNER,,
dataverseSource,main,accounts,accounts,owneridname,12,String,Column,FALSE,STRING,,173,TRUE,ownerid,OWNER,,
dataverseSource,main,accounts,accounts,owneridtype,12,EntityName,Column,FALSE,STRING,,174,TRUE,ownerid,OWNER,,
dataverseSource,main,accounts,accounts,owneridyominame,12,String,Column,FALSE,STRING,,175,TRUE,ownerid,OWNER,,
dataverseSource,main,accounts,accounts,ownershipcode,4,Picklist,Column,TRUE,INTEGER,"Select the account's ownership structure, such as public or private.",176,,,OWNER,,
dataverseSource,main,accounts,accounts,ownershipcodename,12,Virtual,Column,TRUE,STRING,,177,TRUE,ownershipcode,OWNER,,
dataverseSource,main,accounts,accounts,owningbusinessunit,12,Lookup,Column,TRUE,STRING,Shows the business unit that the record owner belongs to.,178,,,,,
dataverseSource,main,accounts,accounts,owningbusinessunitname,12,String,Column,TRUE,STRING,,179,TRUE,owningbusinessunit,NAME,,
dataverseSource,main,accounts,accounts,owningteam,12,Lookup,Column,TRUE,STRING,Unique identifier of the team who owns the account.,180,,,,,
dataverseSource,main,accounts,accounts,owninguser,12,Lookup,Column,TRUE,STRING,Unique identifier of the user who owns the account.,181,,,,,
dataverseSource,main,accounts,accounts,parentaccountid,12,Lookup,Column,TRUE,STRING,Choose the parent account associated with this account to show parent and child businesses in reporting and analytics.,182,,,,,
dataverseSource,main,accounts,accounts,parentaccountidname,12,String,Column,TRUE,STRING,,183,TRUE,parentaccountid,NAME,,
dataverseSource,main,accounts,accounts,parentaccountidyominame,12,String,Column,TRUE,STRING,,184,TRUE,parentaccountid,NAME,,
dataverseSource,main,accounts,accounts,participatesinworkflow,16,Boolean,Column,TRUE,BOOLEAN,For system use only. Legacy Microsoft Dynamics CRM 3.0 workflow data.,185,,,,,
dataverseSource,main,accounts,accounts,participatesinworkflowname,12,Virtual,Column,TRUE,STRING,,186,TRUE,participatesinworkflow,NAME,,
dataverseSource,main,accounts,accounts,paymenttermscode,4,Picklist,Column,TRUE,INTEGER,Select the payment terms to indicate when the customer needs to pay the total amount.,187,,,PAYMENT_CODE,,
dataverseSource,main,accounts,accounts,paymenttermscodename,12,Virtual,Column,TRUE,STRING,,188,TRUE,paymenttermscode,NAME,,
dataverseSource,main,accounts,accounts,preferredappointmentdaycode,4,Picklist,Column,TRUE,INTEGER,Select the preferred day of the week for service appointments.,189,,,,,
