activity_id,case_id,case_date,case_type,status
558,272,2015-04-14 03:03:35.000,Device Issue,Open
559,273,2016-11-24 20:30:22.000,Billing Issue,Closed
560,274,2016-12-18 08:17:18.000,Network Issue,Unresolved
561,275,2016-04-30 12:02:26.000,Billing Issue,Closed
563,276,2016-05-17 11:12:00.000,Device Issue,Unresolved
567,277,2016-01-03 01:36:05.000,Billing Issue,Open
570,278,2016-01-22 04:27:18.000,Device Issue,Closed
571,279,2015-08-03 01:44:06.000,Billing Issue,Unresolved
572,280,2015-11-10 15:18:33.000,Billing Issue,Open
573,281,2015-04-12 22:26:09.000,Network Issue,Open
574,282,2016-08-01 03:18:26.000,Billing Issue,Closed
576,283,2016-09-14 00:11:33.000,Billing Issue,Closed
577,284,2016-02-25 01:47:25.000,Device Issue,Unresolved
581,285,2016-06-07 07:28:13.000,Billing Issue,Unresolved
583,286,2016-04-24 12:33:49.000,Billing Issue,Open
589,287,2017-02-05 20:09:24.000,Device Issue,Unresolved
590,288,2015-08-27 05:49:26.000,Device Issue,Open
591,289,2015-12-30 21:00:20.000,Network Issue,Closed
592,290,2015-02-03 00:04:06.000,Network Issue,Closed
593,291,2016-05-31 20:03:39.000,Billing Issue,Closed
597,292,2016-05-09 22:19:19.000,Device Issue,Closed
598,293,2015-12-25 00:09:00.000,Billing Issue,Closed
600,294,2016-06-20 15:25:10.000,Billing Issue,Unresolved
606,295,2016-07-16 18:55:46.000,Billing Issue,Closed
611,296,2015-01-23 02:37:46.000,Device Issue,Open
612,297,2015-08-16 23:33:53.000,Device Issue,Closed
614,298,2017-02-26 22:28:09.000,Network Issue,Unresolved
618,299,2015-07-30 05:33:21.000,Network Issue,Unresolved
620,300,2016-05-12 18:37:45.000,Device Issue,Unresolved
621,301,2015-04-23 20:20:54.000,Network Issue,Unresolved
622,302,2016-04-15 21:00:02.000,Billing Issue,Unresolved
623,303,2016-09-21 10:45:45.000,Device Issue,Unresolved
625,304,2015-02-22 05:10:54.000,Billing Issue,Closed
626,305,2015-05-17 09:30:44.000,Billing Issue,Closed
627,306,2015-07-18 12:17:44.000,Network Issue,Closed
628,307,2016-12-21 03:23:35.000,Device Issue,Open
630,308,2015-03-28 04:43:32.000,Network Issue,Unresolved
632,309,2016-06-30 13:29:15.000,Device Issue,Open
637,310,2015-07-02 04:28:03.000,Device Issue,Open
640,311,2016-11-23 20:55:53.000,Device Issue,Unresolved
641,312,2016-02-28 21:04:33.000,Network Issue,Closed
642,313,2016-02-12 21:54:19.000,Device Issue,Closed
643,314,2016-10-16 00:18:49.000,Device Issue,Open
647,315,2016-07-20 00:45:36.000,Device Issue,Closed
648,316,2016-09-13 13:07:44.000,Billing Issue,Closed
650,317,2017-01-23 13:19:14.000,Device Issue,Open
651,318,2015-12-28 23:08:12.000,Billing Issue,Unresolved
652,319,2015-04-05 06:34:48.000,Billing Issue,Closed
654,320,2016-07-24 11:24:35.000,Billing Issue,Unresolved
655,321,2015-04-13 04:07:47.000,Network Issue,Open
656,322,2017-02-23 00:27:26.000,Billing Issue,Closed
658,323,2015-08-14 04:34:19.000,Network Issue,Closed
661,324,2017-01-11 15:31:02.000,Network Issue,Closed
666,325,2015-11-21 03:39:13.000,Device Issue,Closed
668,326,2015-08-03 13:42:06.000,Device Issue,Closed
669,327,2015-12-26 01:45:35.000,Network Issue,Closed
670,328,2016-06-01 18:22:37.000,Device Issue,Closed
673,329,2016-11-06 07:25:16.000,Billing Issue,Unresolved
675,330,2015-01-28 00:08:47.000,Device Issue,Unresolved
676,331,2016-12-13 19:00:29.000,Billing Issue,Unresolved
678,332,2016-12-26 10:53:01.000,Device Issue,Unresolved
679,333,2015-06-29 06:43:48.000,Billing Issue,Closed
680,334,2015-09-24 01:01:30.000,Device Issue,Open
681,335,2015-01-31 17:42:33.000,Network Issue,Unresolved
682,336,2016-05-27 22:57:10.000,Billing Issue,Closed
683,337,2015-08-02 10:31:29.000,Device Issue,Open
685,338,2016-03-11 12:23:07.000,Device Issue,Closed
686,339,2016-11-29 08:41:38.000,Billing Issue,Unresolved
689,340,2016-12-19 19:05:41.000,Device Issue,Unresolved
690,341,2015-09-07 04:55:06.000,Billing Issue,Closed
691,342,2016-01-14 23:32:43.000,Network Issue,Unresolved
695,343,2016-02-16 20:00:11.000,Device Issue,Open
698,344,2015-12-28 10:08:02.000,Device Issue,Open
699,345,2015-11-06 05:26:36.000,Device Issue,Closed
700,346,2016-12-03 13:48:07.000,Device Issue,Unresolved
1356,689,2015-08-19 09:40:54.000,Billing Issue,Unresolved
1357,690,2015-01-30 14:00:11.000,Network Issue,Open
1358,691,2016-12-14 19:23:06.000,Device Issue,Closed
1361,692,2015-04-15 00:05:46.000,Device Issue,Closed
1363,693,2016-08-05 01:02:32.000,Device Issue,Unresolved
1366,694,2016-09-02 16:31:30.000,Network Issue,Closed
1367,695,2015-09-26 18:59:07.000,Device Issue,Unresolved
1370,696,2016-01-08 11:34:00.000,Network Issue,Unresolved
1377,697,2015-01-16 05:38:56.000,Device Issue,Closed
1379,698,2016-10-27 07:03:03.000,Billing Issue,Open
1382,699,2015-12-03 22:26:07.000,Billing Issue,Closed
1386,700,2017-01-18 22:21:59.000,Device Issue,Unresolved
1392,701,2016-09-23 11:09:49.000,Billing Issue,Closed
1393,702,2015-03-11 01:16:10.000,Billing Issue,Closed
1394,703,2017-02-23 23:20:43.000,Billing Issue,Unresolved
1396,704,2015-05-18 11:59:45.000,Billing Issue,Closed
1397,705,2017-02-10 12:02:57.000,Network Issue,Unresolved
1399,706,2016-11-14 11:48:02.000,Billing Issue,Unresolved
1401,707,2016-07-13 11:48:54.000,Device Issue,Open
1403,708,2015-12-09 09:26:54.000,Billing Issue,Open
1405,709,2015-01-15 17:24:34.000,Billing Issue,Unresolved
1410,710,2017-02-11 22:03:05.000,Device Issue,Unresolved
1412,711,2016-06-12 10:56:36.000,Billing Issue,Closed
1413,712,2015-01-01 17:06:22.000,Billing Issue,Open
1414,713,2015-06-01 15:34:18.000,Billing Issue,Closed
1415,714,2015-09-14 15:04:19.000,Network Issue,Open
1416,715,2015-04-18 16:58:30.000,Billing Issue,Open
1417,716,2015-07-20 11:14:30.000,Billing Issue,Open
1419,717,2015-04-25 09:40:39.000,Network Issue,Open
1421,718,2015-07-16 14:07:52.000,Device Issue,Closed
1422,719,2015-12-30 21:15:18.000,Billing Issue,Open
1426,720,2015-09-09 10:18:34.000,Network Issue,Open
1427,721,2016-05-01 06:36:06.000,Billing Issue,Closed
1430,722,2016-02-06 14:11:56.000,Network Issue,Closed
1431,723,2016-05-26 20:29:33.000,Billing Issue,Open
1432,724,2017-01-21 08:00:46.000,Device Issue,Closed
1433,725,2015-10-02 21:06:54.000,Network Issue,Closed
1437,726,2017-02-12 19:45:25.000,Billing Issue,Closed
1441,727,2016-07-17 01:53:11.000,Billing Issue,Open
1442,728,2016-11-09 07:32:24.000,Device Issue,Open
1445,729,2016-10-15 08:04:36.000,Billing Issue,Unresolved
1446,730,2015-09-19 14:32:02.000,Billing Issue,Unresolved
1448,731,2016-12-13 22:27:38.000,Network Issue,Unresolved
1450,732,2017-02-27 19:46:41.000,Billing Issue,Open
1464,733,2016-09-05 21:20:44.000,Device Issue,Unresolved
1465,734,2015-02-13 15:46:04.000,Network Issue,Open
1466,735,2016-05-12 22:42:43.000,Network Issue,Unresolved
1467,736,2016-03-11 19:21:13.000,Device Issue,Closed
1469,737,2015-11-28 14:31:10.000,Network Issue,Closed
1471,738,2016-10-10 20:42:56.000,Device Issue,Closed
1472,739,2017-02-13 05:52:53.000,Device Issue,Closed
1475,740,2015-06-25 07:07:45.000,Network Issue,Closed
1477,741,2016-02-27 09:24:51.000,Network Issue,Open
1481,742,2016-09-17 11:08:31.000,Network Issue,Closed
1484,743,2015-09-13 17:28:13.000,Billing Issue,Unresolved
1486,744,2016-10-16 21:33:27.000,Billing Issue,Unresolved
1487,745,2016-01-28 17:25:27.000,Device Issue,Closed
1489,746,2016-07-20 16:31:35.000,Billing Issue,Closed
1490,747,2015-10-24 16:00:27.000,Network Issue,Unresolved
1494,748,2016-01-09 15:06:50.000,Device Issue,Open
1495,749,2015-10-13 11:42:22.000,Network Issue,Closed
1496,750,2015-05-28 04:50:21.000,Network Issue,Open
1497,751,2016-02-04 20:16:26.000,Billing Issue,Closed
1498,752,2016-05-17 16:06:49.000,Network Issue,Unresolved
1500,753,2015-04-30 07:23:15.000,Network Issue,Closed
1503,754,2015-09-30 13:58:59.000,Billing Issue,Closed
1506,755,2015-06-09 01:12:03.000,Network Issue,Unresolved
1507,756,2015-08-09 04:05:43.000,Billing Issue,Unresolved
1508,757,2016-01-27 07:16:19.000,Network Issue,Unresolved
1509,758,2015-11-20 08:40:28.000,Device Issue,Unresolved
1512,759,2015-10-04 04:52:59.000,Billing Issue,Closed
1513,760,2016-04-21 08:23:51.000,Network Issue,Closed
1514,761,2015-01-24 18:53:53.000,Device Issue,Unresolved
1515,762,2016-11-07 23:08:51.000,Billing Issue,Unresolved
1523,763,2015-09-17 15:59:21.000,Billing Issue,Closed
1525,764,2015-05-31 17:53:18.000,Network Issue,Closed
1528,765,2015-12-27 12:48:31.000,Network Issue,Open
1531,766,2016-07-13 13:42:50.000,Billing Issue,Unresolved
1534,767,2016-08-28 05:31:26.000,Billing Issue,Unresolved
1535,768,2016-10-11 01:44:56.000,Device Issue,Open
1536,769,2016-05-01 21:12:16.000,Device Issue,Closed
1538,770,2017-01-05 13:51:02.000,Billing Issue,Closed
1541,771,2016-10-21 20:35:11.000,Device Issue,Open
1545,772,2016-07-07 22:17:17.000,Network Issue,Closed
1549,773,2016-06-26 23:48:49.000,Network Issue,Open
1550,774,2015-03-24 22:43:54.000,Device Issue,Unresolved
1551,775,2015-10-21 22:31:03.000,Billing Issue,Unresolved
1552,776,2015-07-17 08:23:01.000,Network Issue,Unresolved
1553,777,2015-07-20 04:04:43.000,Device Issue,Closed
1556,778,2015-03-25 04:20:14.000,Billing Issue,Closed
1559,779,2015-05-31 03:54:49.000,Billing Issue,Unresolved
1561,780,2016-07-02 09:06:14.000,Billing Issue,Open
1563,781,2016-12-31 16:13:46.000,Device Issue,Open
1564,782,2015-07-02 14:51:28.000,Billing Issue,Unresolved
1565,783,2015-02-10 00:15:42.000,Billing Issue,Closed
1568,784,2016-04-25 06:05:40.000,Network Issue,Closed
1573,785,2016-05-12 22:25:08.000,Device Issue,Closed
1576,786,2015-06-10 18:07:09.000,Billing Issue,Open
1577,787,2015-04-12 20:41:36.000,Device Issue,Open
1578,788,2015-03-23 23:05:07.000,Network Issue,Unresolved
1582,789,2015-05-17 19:53:08.000,Device Issue,Open
1585,790,2015-12-26 03:28:38.000,Billing Issue,Unresolved
1587,791,2015-11-20 13:43:17.000,Billing Issue,Unresolved
1588,792,2016-06-23 05:16:21.000,Billing Issue,Open
1590,793,2017-02-13 21:20:07.000,Device Issue,Unresolved
1591,794,2016-02-14 06:37:36.000,Device Issue,Closed
1596,795,2015-08-17 03:58:08.000,Network Issue,Unresolved
1599,796,2017-01-17 12:08:52.000,Device Issue,Open
1605,797,2016-02-25 23:27:22.000,Device Issue,Closed
1609,798,2016-01-01 22:18:10.000,Billing Issue,Unresolved
1611,799,2015-10-20 04:16:30.000,Billing Issue,Closed
1613,800,2015-06-27 11:19:48.000,Network Issue,Unresolved
1614,801,2016-01-05 15:02:01.000,Billing Issue,Open
1615,802,2015-08-22 03:28:05.000,Network Issue,Closed
1617,803,2015-08-02 17:26:11.000,Network Issue,Unresolved
1619,804,2015-07-18 02:56:29.000,Network Issue,Closed
1622,805,2016-09-11 12:41:40.000,Device Issue,Closed
1623,806,2015-12-12 19:32:31.000,Billing Issue,Unresolved
1624,807,2016-10-17 04:09:43.000,Billing Issue,Open
1626,808,2015-04-21 06:44:53.000,Network Issue,Unresolved
1629,809,2015-03-05 14:31:54.000,Billing Issue,Unresolved
1630,810,2015-06-17 02:05:30.000,Network Issue,Closed
1632,811,2016-10-22 10:46:11.000,Network Issue,Unresolved
1633,812,2016-08-24 22:53:50.000,Network Issue,Unresolved
1635,813,2016-10-27 16:25:12.000,Network Issue,Closed
1636,814,2015-12-03 01:45:16.000,Billing Issue,Closed
1639,815,2015-12-19 11:27:19.000,Device Issue,Closed
1641,816,2016-05-12 19:41:48.000,Billing Issue,Unresolved
1649,817,2016-02-27 00:39:02.000,Device Issue,Closed
1650,818,2017-02-15 16:47:49.000,Billing Issue,Unresolved
1651,819,2016-07-27 07:33:58.000,Billing Issue,Closed
1652,820,2016-01-20 03:30:20.000,Billing Issue,Open
1656,821,2015-01-30 11:40:05.000,Network Issue,Closed
1659,822,2016-07-10 18:25:08.000,Billing Issue,Unresolved
1662,823,2016-09-29 00:59:50.000,Billing Issue,Unresolved
1663,824,2015-06-27 07:32:29.000,Network Issue,Open
1667,825,2015-04-06 19:28:12.000,Network Issue,Unresolved
1668,826,2015-02-19 19:51:35.000,Billing Issue,Open
1669,827,2015-09-10 04:38:22.000,Network Issue,Unresolved
1670,828,2016-03-25 20:19:28.000,Device Issue,Closed
1671,829,2015-02-27 13:10:24.000,Network Issue,Unresolved
1672,830,2017-02-27 11:27:35.000,Billing Issue,Closed
1674,831,2016-09-28 12:26:52.000,Device Issue,Open
1675,832,2015-01-22 21:39:40.000,Billing Issue,Unresolved
1676,833,2016-10-24 17:03:27.000,Device Issue,Open
1677,834,2015-09-10 03:58:02.000,Network Issue,Open
1681,835,2015-01-23 02:32:43.000,Device Issue,Unresolved
1682,836,2016-09-14 23:36:13.000,Network Issue,Closed
1683,837,2016-06-28 11:38:31.000,Device Issue,Unresolved
1684,838,2016-06-14 15:57:26.000,Device Issue,Closed
1687,839,2015-02-16 08:54:02.000,Network Issue,Open
1691,840,2016-01-07 19:11:04.000,Billing Issue,Open
1692,841,2016-12-07 06:30:51.000,Network Issue,Open
1693,842,2015-05-13 21:43:25.000,Device Issue,Closed
1694,843,2015-08-13 15:29:20.000,Billing Issue,Open
1696,844,2017-01-08 03:03:03.000,Billing Issue,Open
1697,845,2016-05-16 07:18:13.000,Billing Issue,Closed
1698,846,2015-11-08 08:23:29.000,Billing Issue,Closed
1700,847,2016-10-12 03:12:50.000,Billing Issue,Closed
1701,848,2016-09-14 23:28:48.000,Billing Issue,Closed
1702,849,2015-05-30 16:00:48.000,Network Issue,Closed
1703,850,2016-12-14 05:14:46.000,Billing Issue,Open
1705,851,2016-09-05 21:55:33.000,Device Issue,Closed
1706,852,2016-08-07 07:18:54.000,Network Issue,Open
1707,853,2015-02-02 09:50:02.000,Network Issue,Closed
1709,854,2016-06-29 14:44:44.000,Device Issue,Unresolved
1710,855,2017-02-28 23:42:12.000,Billing Issue,Open
1712,856,2015-06-25 18:24:40.000,Network Issue,Unresolved
1714,857,2016-08-23 00:13:52.000,Network Issue,Unresolved
1717,858,2015-08-13 07:21:15.000,Network Issue,Open
701,347,2015-04-18 07:09:35.000,Network Issue,Unresolved
702,348,2017-01-30 17:15:20.000,Network Issue,Unresolved
706,349,2016-06-09 03:04:26.000,Billing Issue,Unresolved
707,350,2016-05-30 08:42:36.000,Billing Issue,Closed
708,351,2016-10-14 15:58:33.000,Billing Issue,Unresolved
709,352,2016-09-06 10:44:01.000,Billing Issue,Open
710,353,2016-07-21 01:53:24.000,Billing Issue,Closed
711,354,2016-03-29 15:55:26.000,Network Issue,Unresolved
714,355,2016-11-10 22:16:20.000,Device Issue,Unresolved
716,356,2016-02-10 00:45:05.000,Device Issue,Unresolved
717,357,2015-12-11 14:22:28.000,Network Issue,Closed
720,358,2015-11-03 02:53:55.000,Device Issue,Unresolved
722,359,2015-08-10 20:13:54.000,Network Issue,Unresolved
723,360,2016-10-11 03:28:46.000,Device Issue,Closed
725,361,2015-08-21 18:39:44.000,Network Issue,Unresolved
726,362,2016-07-12 01:21:49.000,Device Issue,Unresolved
729,363,2016-10-02 17:58:19.000,Device Issue,Open
733,364,2015-01-19 21:11:37.000,Billing Issue,Unresolved
734,365,2016-01-29 18:32:16.000,Billing Issue,Open
736,366,2017-02-10 12:46:17.000,Device Issue,Unresolved
739,367,2016-11-12 13:45:02.000,Device Issue,Unresolved
740,368,2015-12-28 09:07:46.000,Device Issue,Unresolved
742,369,2017-02-02 21:11:45.000,Billing Issue,Unresolved
747,370,2015-09-09 08:08:20.000,Network Issue,Unresolved
748,371,2015-11-04 03:06:00.000,Network Issue,Open
751,372,2015-11-09 01:37:35.000,Network Issue,Unresolved
753,373,2016-11-08 22:29:16.000,Device Issue,Unresolved
755,374,2016-05-24 10:24:53.000,Network Issue,Closed
756,375,2016-01-11 01:53:07.000,Billing Issue,Open
757,376,2015-05-08 14:27:59.000,Network Issue,Unresolved
758,377,2015-09-14 15:41:17.000,Device Issue,Closed
761,378,2015-12-07 00:28:55.000,Device Issue,Closed
762,379,2016-03-20 06:47:53.000,Device Issue,Unresolved
764,380,2016-01-10 10:20:39.000,Network Issue,Closed
767,381,2016-03-30 17:22:29.000,Device Issue,Open
768,382,2016-12-23 04:15:32.000,Device Issue,Unresolved
769,383,2016-10-12 00:22:35.000,Device Issue,Closed
770,384,2015-06-17 21:01:07.000,Network Issue,Open
771,385,2016-07-01 11:57:31.000,Billing Issue,Open
773,386,2015-11-23 11:50:31.000,Network Issue,Closed
774,387,2015-03-04 12:55:24.000,Device Issue,Unresolved
776,388,2015-01-30 13:14:51.000,Device Issue,Unresolved
778,389,2015-02-04 18:26:52.000,Billing Issue,Unresolved
779,390,2016-03-18 02:55:53.000,Network Issue,Open
780,391,2015-08-16 03:09:12.000,Billing Issue,Closed
782,392,2017-01-16 04:33:46.000,Billing Issue,Unresolved
783,393,2015-08-16 08:52:27.000,Network Issue,Unresolved
785,394,2016-12-31 22:30:27.000,Network Issue,Closed
791,395,2016-01-16 10:24:56.000,Billing Issue,Unresolved
792,396,2015-11-05 10:52:44.000,Billing Issue,Open
794,397,2016-06-06 08:54:34.000,Device Issue,Closed
795,398,2015-09-01 23:03:28.000,Device Issue,Unresolved
799,399,2016-10-10 06:22:11.000,Device Issue,Unresolved
801,400,2016-06-26 19:26:30.000,Billing Issue,Open
803,401,2016-07-20 05:15:46.000,Device Issue,Open
805,402,2015-11-09 07:15:31.000,Network Issue,Closed
806,403,2015-11-06 00:45:31.000,Network Issue,Closed
807,404,2016-02-15 06:39:16.000,Device Issue,Open
809,405,2016-10-16 21:02:38.000,Network Issue,Open
811,406,2015-06-20 09:34:14.000,Billing Issue,Open
813,407,2015-01-23 15:27:37.000,Billing Issue,Open
814,408,2015-08-31 18:32:31.000,Network Issue,Closed
817,409,2015-12-30 13:36:28.000,Billing Issue,Closed
821,410,2017-01-16 14:07:50.000,Network Issue,Open
822,411,2017-02-19 21:19:40.000,Device Issue,Unresolved
824,412,2016-02-03 07:21:19.000,Network Issue,Unresolved
825,413,2015-03-11 20:03:06.000,Network Issue,Open
828,414,2015-06-08 10:33:17.000,Billing Issue,Open
830,415,2015-01-02 15:45:20.000,Billing Issue,Unresolved
834,416,2015-09-11 10:20:16.000,Billing Issue,Closed
835,417,2015-04-03 00:55:47.000,Device Issue,Open
837,418,2016-05-13 22:54:36.000,Network Issue,Open
838,419,2016-10-05 20:09:27.000,Network Issue,Open
841,420,2015-06-01 19:06:26.000,Device Issue,Unresolved
843,421,2015-02-15 16:31:08.000,Billing Issue,Closed
847,422,2015-10-10 21:27:46.000,Network Issue,Unresolved
849,423,2015-10-02 07:12:33.000,Billing Issue,Unresolved
850,424,2017-01-08 04:37:34.000,Network Issue,Open
851,425,2016-12-31 04:54:52.000,Network Issue,Open
855,426,2016-11-11 10:21:34.000,Billing Issue,Unresolved
856,427,2016-02-24 03:29:02.000,Network Issue,Unresolved
858,428,2016-12-21 12:28:15.000,Device Issue,Closed
860,429,2015-03-19 05:22:59.000,Device Issue,Closed
862,430,2015-02-22 10:24:22.000,Billing Issue,Open
864,431,2016-09-21 18:58:01.000,Billing Issue,Unresolved
868,432,2016-02-28 12:40:29.000,Network Issue,Closed
869,433,2015-03-20 02:10:27.000,Network Issue,Closed
872,434,2015-04-20 21:44:06.000,Network Issue,Open
876,435,2016-12-16 20:50:58.000,Device Issue,Closed
878,436,2017-01-28 13:00:53.000,Billing Issue,Open
879,437,2015-10-19 04:42:43.000,Device Issue,Closed
881,438,2016-06-13 20:44:36.000,Billing Issue,Open
883,439,2016-08-10 19:55:49.000,Billing Issue,Open
886,440,2015-02-26 05:43:03.000,Billing Issue,Open
889,441,2015-10-09 19:43:05.000,Network Issue,Unresolved
892,442,2016-02-19 19:14:12.000,Network Issue,Closed
893,443,2016-05-30 02:41:59.000,Network Issue,Closed
894,444,2015-04-16 16:09:21.000,Device Issue,Closed
899,445,2015-05-28 20:56:28.000,Billing Issue,Closed
901,446,2017-01-02 05:24:33.000,Device Issue,Open
908,447,2015-01-16 01:57:35.000,Billing Issue,Closed
909,448,2015-11-01 11:44:31.000,Billing Issue,Unresolved
911,449,2015-04-29 06:35:39.000,Billing Issue,Closed
913,450,2016-08-30 19:52:15.000,Network Issue,Open
916,451,2015-07-30 13:43:10.000,Billing Issue,Open
919,452,2015-01-27 10:15:53.000,Billing Issue,Unresolved
922,453,2015-07-01 21:11:23.000,Network Issue,Open
923,454,2015-09-01 08:11:47.000,Network Issue,Closed
924,455,2017-01-16 11:06:09.000,Device Issue,Open
933,456,2016-04-28 20:42:16.000,Network Issue,Closed
934,457,2015-05-14 17:11:48.000,Billing Issue,Unresolved
938,458,2015-10-12 07:06:51.000,Billing Issue,Closed
940,459,2015-02-21 08:47:02.000,Billing Issue,Unresolved
943,460,2015-08-22 12:20:27.000,Device Issue,Closed
944,461,2017-02-13 01:37:44.000,Device Issue,Open
946,462,2015-04-10 06:33:58.000,Network Issue,Open
948,463,2015-05-12 03:10:26.000,Billing Issue,Open
949,464,2017-01-17 20:57:45.000,Network Issue,Unresolved
952,465,2016-04-16 20:39:36.000,Billing Issue,Closed
953,466,2017-02-06 08:55:58.000,Device Issue,Unresolved
958,467,2015-04-13 15:58:38.000,Device Issue,Unresolved
959,468,2015-10-06 22:45:05.000,Network Issue,Unresolved
