tac,brandmodel,manufacturer,frequencies_band,radiointerface,brandname,modelname,os,chipnfc,chipbluetooth,chipwlan,devicetype,removableuicc,removableeuicc,nonremovableuicc,nonremovableeuicc,deviceatlasid,standardisedfull,standardised_device_model,standardisedmarketing,interlmodel,allocationdate,countrycode,fixedcode,manufacturercode,year_released,mobile_device,hardwaretype,touchscreen,screenwidth,screenheight,diagolscreensize,displayppi,devicepixelratio,screencolordepth,nfc,camera,ismobilephone,istablet,isereader,isgamesconsole,istv,issettupbox,ismediaplayer,chipsetvendor,chipset,chipsetmodel,cpu,cpu_cores,cpu_maximum_frequency,gpu,sim_slots,sim_size,interl_storage_capacity,expandable_storage,total_ram,os_me,os_version,os_android,os_bada,os_ios,os_rim,os_symbian,os_windows_mobile,os_windows_phone,os_windows_rt,os_web_os,browser_me,browser_version,browser_rendering_engine,markup_xhtml_basic_1v0,markup_xhtml_mp_1v0,markup_xhtml_mp_1v1,markup_xhtml_mp_1v2,markup_wml1,vcard_download,image__gif87,image__gif89a,image__jpg,image__png,uri_scheme_tel,uri_scheme_sms,uri_scheme_sms_to,cookie,https,memory_limit_markup,memory_limit_embedded_media,memory_limit_download,flash_capable,js_support_basic_java_script,js_modify_dom,js_modify_css,js_support_events,js_support_event_listener,js_xhr,js_support_console_log,js_json,supports_client_side,csd,hscsd,gprs,edge,hsdpa,umts,hspa,lte,lte_category,lte_advanced,volte,wifi,vowifi,html_audio,html_canvas,html_inline_svg,html_svg,html_video,css_animations,css_columns,css_transforms,css_transitions,js_application_cache,js_geo_location,js_indexeddb,js_local_storage,js_session_storage,js_web_gl,js_web_sockets,js_web_sql_database,js_web_workers,js_device_orientation,js_device_motion,js_touch_events,js_query_selector,wmv,midi_monophonic,midi_polyphonic,amr,mp3,aac
35163104,Telit GE865-QUAD,Telit Communications SpA,"GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800)",GPRS,Telit,GE865-QUAD,Not Known,N,N,N,Module,Not Known,Not Known,Not Known,Not Known,8134790,Telit GE865-QUAD,GE865-QUAD,,Telit GE865-QUAD,2010-01-19 00:00:00.000,222,MANU,210321,2010,0,Embedded Network Module,0,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35003000,G18,Motorola,"GSM 1800,GSM 1900,GSM 900",NONE,Not Known,G18,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,G18,2004-04-29 00:00:00.000,310,MANU,205051,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003001,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003007,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003020,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003030,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003035,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003040,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003050,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003061,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003067,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003069,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003093,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35003095,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35069010,Nokia 20 (GSM Connectivity Termil),Nokia Corporation,"GSM 1800,GSM 900",NONE,Not Known,Nokia 20 (GSM Connectivity Termil),Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,7866850,Nokia GSM Connectivity Termil,20,GSM Connectivity Termil,TME-2,2002-01-16 00:00:00.000,244,MANU,200064,2001,0,Wireless Hotspot,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35069015,Nokia 20 (GSM Connectivity Termil),Nokia Corporation,"GSM 1800,GSM 900",NONE,Not Known,Nokia 20 (GSM Connectivity Termil),Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,7866850,Nokia GSM Connectivity Termil,20,GSM Connectivity Termil,TME-2,2002-01-16 00:00:00.000,244,MANU,200064,2001,0,Wireless Hotspot,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35069020,Nokia 20 (GSM Connectivity Termil),Nokia Corporation,"GSM 1800,GSM 900",NONE,Not Known,Nokia 20 (GSM Connectivity Termil),Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,7866850,Nokia GSM Connectivity Termil,20,GSM Connectivity Termil,TME-2,2002-01-16 00:00:00.000,244,MANU,200064,2001,0,Wireless Hotspot,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35069030,Nokia 20 (GSM Connectivity Termil),Nokia Corporation,"GSM 1800,GSM 900",NONE,Not Known,Nokia 20 (GSM Connectivity Termil),Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,7866850,Nokia GSM Connectivity Termil,20,GSM Connectivity Termil,TME-2,2002-01-16 00:00:00.000,244,MANU,200064,2001,0,Wireless Hotspot,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35069040,Nokia 20 (GSM Connectivity Termil),Nokia Corporation,"GSM 1800,GSM 900",NONE,Not Known,Nokia 20 (GSM Connectivity Termil),Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,7866850,Nokia GSM Connectivity Termil,20,GSM Connectivity Termil,TME-2,2002-01-16 00:00:00.000,244,MANU,200064,2001,0,Wireless Hotspot,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35069060,Nokia 20 (GSM Connectivity Termil),Nokia Corporation,"GSM 1800,GSM 900",NONE,Not Known,Nokia 20 (GSM Connectivity Termil),Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,7866850,Nokia GSM Connectivity Termil,20,GSM Connectivity Termil,TME-2,2002-01-16 00:00:00.000,244,MANU,200064,2001,0,Wireless Hotspot,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
